Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,unscathed,killed,hospital,light,chance
200600044987,6,8,18,1815,1,1,8,1,4910300,110500,4,2,2,0,1,2,0,30,1,0,1,0,2,0,1,0,1
200600044992,6,8,15,745,2,1,1,7,4879200,98400,3,2,2,0,1,3,0,65,1,0,3,0,0,0,1,0,1
200600044996,6,8,31,1830,1,1,1,6,4914000,144400,3,2,2,0,1,1,0,60,1,0,3,0,0,0,1,1,1
200600044998,6,8,14,1415,1,1,1,1,4935900,172600,4,2,0,0,1,2,0,45,1,0,1,0,1,0,0,1,1
200600045000,6,8,20,415,3,1,1,6,4910300,62900,3,2,1,0,0,1,0,70,2,0,0,0,0,0,1,0,1
200600045005,6,8,20,1500,1,2,1,1,4909700,80400,3,2,2,0,0,1,70,0,1,0,1,0,0,0,1,1,1
200600045007,6,8,7,1700,1,2,2,3,4917500,117700,3,2,2,0,1,1,0,89,2,5,1,0,2,0,0,1,1
200600045011,6,8,27,1945,1,1,1,1,4914300,131700,3,3,2,0,3,1,37,115,1,5,1,0,1,0,1,0,1
200600045012,6,8,31,1645,1,1,1,6,4920200,129700,3,2,2,0,1,2,0,62,1,0,1,3,1,0,1,0,1
200600045013,6,8,25,2330,3,1,1,6,4930300,115200,3,2,2,0,1,2,0,60,1,0,0,0,1,0,1,2,1
200600045014,6,8,2,1650,1,2,1,3,4917800,87900,3,2,2,0,1,4,0,68,1,0,1,0,3,0,0,1,1
200600045015,6,8,11,1400,1,2,1,3,4917500,95200,3,2,2,0,1,1,0,47,1,0,1,0,1,1,1,0,1
200600045020,6,8,4,2045,1,1,1,5,4931300,62600,3,0,2,0,1,4,0,47,1,0,1,0,2,0,1,0,1
200600045022,6,8,31,1915,1,1,1,3,4822000,-175300,9,2,2,0,0,1,0,0,1,0,1,0,0,0,1,1,1
200600045026,6,8,5,115,3,1,1,6,4834800,-129400,2,3,4,0,1,1,11,200,1,0,1,0,3,1,1,0,1
200600045029,6,8,9,1045,1,1,1,6,4846200,-138900,3,2,2,0,0,1,0,40,1,5,1,0,0,0,1,0,1
200600045031,6,8,23,2330,3,1,2,7,4843000,-132500,3,2,2,0,0,1,0,43,2,0,1,0,0,1,0,1,1
200600045032,6,8,27,2100,1,1,1,6,4767300,-205800,3,2,2,0,2,1,0,51,1,0,3,0,0,0,1,0,1
200600045034,6,8,8,2045,1,1,1,7,4792900,-171600,3,2,2,0,2,1,0,0,1,0,3,0,0,0,1,0,1
200600045038,6,8,21,1100,1,2,1,3,4840600,-176000,3,2,0,0,1,1,0,70,1,0,1,0,3,0,1,2,1
200600045039,6,8,23,1700,1,1,1,3,4855200,-174900,4,2,2,0,1,1,0,70,1,0,1,0,1,0,1,0,1
200600045041,6,8,14,1430,1,1,1,1,4863200,-212000,4,2,0,0,2,1,0,45,1,0,1,0,1,0,1,0,1
200600045045,6,8,4,1700,1,1,1,1,4810900,-140700,3,2,2,0,1,1,0,63,1,0,1,0,1,1,0,0,1
200600045050,6,8,24,1615,1,1,1,1,4828300,-283200,3,2,2,0,1,1,0,69,1,0,1,0,1,1,1,0,1
200600045051,6,8,22,1015,1,9,8,6,4878300,-304600,6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
200600045056,6,8,2,1300,1,1,1,6,4838100,-209300,3,2,2,0,1,1,0,82,1,0,3,0,2,0,1,0,1
200600045059,6,8,29,1315,1,1,1,3,4852000,-202000,3,2,2,0,2,3,0,65,1,0,1,0,0,0,1,2,1
200600045061,6,8,8,245,3,1,1,6,4860300,-228800,3,2,2,0,0,1,0,70,1,0,3,0,0,1,0,0,1
200600045064,6,8,28,2000,1,1,1,1,4849200,-225200,3,2,2,0,1,4,0,0,1,0,1,0,0,0,4,1,1
200600045066,6,8,27,1915,1,1,1,3,4827700,-253100,3,2,2,0,1,1,0,62,1,5,1,0,0,0,1,3,1
200600045067,6,8,4,100,3,1,1,7,4858500,-306300,3,2,2,0,1,1,0,69,1,0,0,0,0,1,0,0,1
200600045068,6,8,17,1400,1,7,1,6,4857100,-315300,9,4,0,0,0,0,0,0,1,0,4,0,1,0,0,2,1
