Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,unscathed,killed,hospital,light,chance
200700060790,7,10,6,145,3,9,1,6,4586000,334700,4,2,0,0,0,2,0,45,1,0,0,0,0,0,1,1,1
200700060791,7,10,13,145,3,9,1,6,4596800,342400,3,2,2,0,1,1,0,66,1,0,3,0,0,0,1,0,1
200700060792,7,10,21,1815,1,4,7,1,4666600,324500,3,2,2,0,2,1,0,60,1,0,1,0,1,0,1,0,1
200700060793,7,10,15,1600,1,1,1,6,4644300,348000,3,2,2,0,2,1,0,62,1,0,3,0,0,1,0,0,1
200700060796,7,10,5,2030,3,1,2,7,4634300,264600,3,2,2,0,2,2,0,100,2,0,1,0,3,0,1,0,1
200700060797,7,10,8,2315,3,1,1,7,4630900,244400,2,1,0,3,2,3,0,25,1,3,1,0,9,0,2,0,1
200700060800,7,10,9,630,3,1,1,1,4611000,330000,2,2,2,0,1,1,0,94,1,0,1,0,0,2,1,0,1
200700060801,7,10,14,1415,1,1,1,1,4602400,364900,4,2,1,0,0,1,0,32,1,0,1,0,1,0,1,0,1
200700060802,7,10,28,1730,1,1,1,7,4616700,362000,4,0,0,0,2,3,0,25,1,0,1,0,1,0,1,0,1
200700060803,7,10,28,2015,5,7,1,7,4606500,378200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
200700060806,7,10,23,1630,1,1,1,3,4469500,222600,3,2,2,0,0,1,0,76,1,0,1,0,0,0,2,0,1
200700060807,7,10,20,1700,1,1,1,6,4489200,255800,3,2,2,0,4,2,0,70,1,0,1,0,0,0,1,0,1
200700060808,7,10,12,2115,3,1,1,1,4539800,253600,3,2,2,0,1,2,0,96,1,0,1,0,1,0,1,0,1
200700060809,7,10,20,1730,1,1,1,1,4535400,245500,3,2,2,0,4,2,0,73,1,0,1,0,3,0,2,0,1
200700060811,7,10,27,1515,1,1,7,3,4525900,319800,2,2,2,0,1,1,0,66,1,0,1,0,3,0,1,0,1
200700060812,7,10,17,845,1,1,1,7,4502600,384300,3,2,2,0,1,1,0,70,1,0,0,0,0,0,0,1,1
200700060813,7,10,6,845,1,9,5,3,4485400,385200,2,2,0,0,1,1,0,70,2,0,1,0,1,1,0,0,1
200700060815,7,10,13,1400,1,1,1,1,4493700,382200,4,2,0,0,3,2,0,23,1,0,1,0,1,0,1,0,1
200700060816,7,10,10,1930,3,1,1,6,4508100,396500,3,2,2,0,2,2,0,56,2,0,3,0,0,0,1,0,1
200700060817,7,10,12,1645,1,1,1,1,4513400,397600,3,2,0,0,1,1,0,55,1,0,1,0,1,0,1,0,1
200700060818,7,10,8,1530,1,1,1,1,4500100,399400,3,2,0,0,0,2,0,60,1,0,1,0,3,0,0,2,1
200700060819,7,10,6,1530,1,1,1,6,4521400,377400,4,2,1,0,3,1,0,40,1,0,3,0,0,0,1,0,1
200700060820,7,10,25,1530,1,1,1,3,4507800,386400,3,2,2,0,3,1,0,63,1,5,1,0,1,0,0,2,1
200700060821,7,10,20,1730,1,6,1,1,4530800,340800,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
200700060822,7,10,17,1800,2,1,1,1,4528600,326600,3,2,0,0,1,1,0,113,1,5,1,0,2,0,1,0,1
200700060823,7,10,6,1045,1,1,2,7,4512100,418100,3,2,2,0,2,3,0,71,2,0,1,0,1,0,0,1,1
200700060824,7,10,8,830,1,1,1,6,4516100,413400,6,0,0,0,1,0,0,0,1,0,1,3,2,0,1,0,1
200700060826,7,10,24,1645,1,1,1,1,4514700,412200,4,2,0,0,2,1,80,120,1,0,1,0,1,0,0,1,1
200700060827,7,10,20,1900,2,3,1,1,4530000,411700,4,2,1,0,2,1,0,70,1,5,1,0,3,0,0,1,1
200700060829,7,10,5,1100,1,1,1,7,4531900,428000,3,2,1,0,1,2,45,0,1,0,0,0,0,0,0,1,1
200700060831,7,10,10,615,1,1,1,2,4921800,603000,4,2,2,0,2,1,0,79,1,0,1,0,1,0,0,1,1
200700060832,7,10,9,1215,1,1,1,1,4915400,600800,3,2,2,0,4,1,35,105,1,5,1,0,1,0,0,1,1
200700060837,7,10,18,2115,3,1,1,2,4910600,630700,3,2,2,0,1,1,0,65,1,0,1,0,0,0,2,1,1
200700060845,7,10,29,1500,1,1,8,6,4902500,688800,3,2,0,0,4,3,0,51,1,0,3,0,1,1,0,0,1
200700060846,7,10,17,2045,3,1,2,6,4868800,707200,3,2,2,0,3,2,0,60,2,0,1,0,1,0,0,1,1
200700060847,7,10,1,815,1,1,1,1,4886800,702800,3,2,2,0,2,1,0,60,1,0,1,0,1,0,1,0,1
200700060848,7,10,10,1230,1,1,1,7,4879500,690800,3,2,1,0,2,1,0,60,2,0,1,0,0,0,2,2,1
200700060850,7,10,19,1730,1,1,8,3,4901700,724200,3,2,2,0,3,2,0,60,2,0,1,0,0,1,0,2,1
200700060851,7,10,3,630,3,1,5,2,4928100,614300,3,2,2,0,1,1,0,70,2,0,1,0,1,1,0,0,1
200700060853,7,10,14,1600,1,1,1,6,4931400,604600,9,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,1
200700060854,7,10,6,1915,2,1,1,6,4931000,634000,3,2,2,0,2,1,0,0,1,0,3,0,0,0,0,1,1
200700060863,7,10,17,1800,1,3,1,5,4859100,609900,3,2,2,0,0,1,0,80,1,0,1,0,2,0,1,0,1
200700060864,7,10,18,1230,1,1,1,3,4853300,622400,2,3,0,0,1,1,33,70,1,0,1,0,1,0,1,0,1
200700060866,7,10,12,2115,3,1,8,7,4943000,578200,3,2,0,0,2,3,58,78,2,0,0,0,0,0,0,1,1
200700060867,7,10,27,1700,1,1,1,7,4936800,593400,3,2,2,0,1,1,0,73,1,0,3,0,0,0,2,0,1
200700060868,7,10,29,715,2,1,2,6,4933200,581000,3,2,2,0,1,1,0,115,2,0,3,0,0,0,1,0,1
200700060875,7,10,6,1900,2,9,1,7,4868600,501500,3,2,0,0,2,2,0,70,9,3,1,0,0,0,1,0,1
200700060877,7,10,7,2130,3,1,1,1,4873200,560500,3,2,2,0,2,1,0,79,1,0,1,0,0,0,2,0,1
200700060878,7,10,26,1445,1,1,1,5,4887800,552200,3,2,0,0,2,1,0,121,1,0,1,0,1,0,1,3,1
200700060881,7,10,25,2330,3,1,1,6,4910200,547900,3,2,2,0,4,1,0,60,1,0,1,0,1,0,1,0,1
200700060882,7,10,8,1830,1,1,1,7,4824500,628200,3,2,2,0,1,2,0,55,1,0,1,0,0,0,1,0,1
200700060885,7,10,16,1800,2,1,1,1,4799000,589500,3,2,0,0,2,4,0,49,1,0,1,0,0,1,2,1,1
200700060886,7,10,29,1745,3,1,2,6,4816000,617000,3,2,2,0,0,1,0,58,2,0,3,0,0,1,0,0,1
200700060887,7,10,29,1745,5,1,2,3,4824900,642500,3,2,2,0,1,1,0,0,2,0,1,0,1,0,1,0,1
200700060890,7,10,14,930,1,1,1,1,4811000,658400,2,3,4,0,1,3,20,190,1,0,1,0,1,1,0,0,1
200700060892,7,10,5,1545,1,1,1,3,4798200,644800,3,2,2,0,1,2,0,61,1,0,1,0,1,0,1,0,1
200700060893,7,10,7,530,3,1,5,3,4800900,643300,3,2,2,0,4,1,0,66,1,0,1,0,1,0,6,0,1
200700060894,7,10,7,930,1,1,1,1,4806700,701800,3,2,2,0,0,3,0,72,1,0,1,0,1,1,1,0,1
200700060897,7,10,14,1730,1,1,7,1,4803800,683600,3,2,0,0,0,4,0,61,1,0,1,0,2,0,1,0,1
200700060899,7,10,23,700,3,1,5,6,4837200,760600,3,2,2,0,1,1,0,59,1,0,1,0,0,0,1,0,1
200700060901,7,10,8,1700,2,2,1,1,4877500,785600,4,2,2,0,1,1,0,70,1,0,1,0,2,0,1,0,1
200700060904,7,10,11,2015,3,1,1,5,4852200,747500,3,2,2,0,1,2,0,90,1,0,1,0,1,1,3,0,1
200700060913,7,10,15,2030,3,1,1,6,4900000,712000,3,0,0,0,2,1,0,0,1,0,3,0,0,0,0,1,1
200700060916,7,10,4,1645,1,2,1,3,4859000,764900,9,2,0,0,1,1,0,49,1,0,1,0,1,0,1,0,1
200700060917,7,10,14,445,3,1,1,6,4824300,762100,3,2,2,0,1,2,0,59,1,0,3,0,1,0,1,0,1
200700060918,7,10,1,1645,1,1,1,2,4897200,800300,3,2,0,0,0,1,0,48,1,5,1,0,1,0,0,1,1
200700060919,7,10,7,2100,5,6,1,6,4904100,795400,3,2,0,0,2,1,11,106,1,5,4,0,0,0,1,2,1
200700060921,7,10,16,1900,2,1,1,7,4817700,709000,3,2,2,0,2,2,0,63,1,0,3,0,0,0,1,0,1
200700060922,7,10,16,1715,1,6,1,3,4804800,715800,3,2,0,0,1,0,0,0,1,5,1,0,0,0,1,1,1
200700060923,7,10,19,730,2,1,1,2,4803300,710400,3,2,2,0,2,2,0,60,1,0,1,0,1,0,0,1,1
200700060925,7,10,30,1200,1,1,8,1,4799400,755200,3,2,2,0,1,1,0,70,2,0,1,0,1,0,1,0,1
200700060926,7,10,5,930,1,1,1,1,4814000,726000,3,3,0,2,0,1,0,0,1,0,1,0,1,0,1,0,1
200700060927,7,10,14,1815,1,1,1,1,4824000,731000,3,2,2,0,2,2,0,0,1,0,1,0,1,0,2,0,1
200700060929,7,10,14,2015,5,1,1,3,4807300,731000,3,4,2,0,1,1,0,0,1,5,1,0,2,0,0,2,1
200700060930,7,10,5,1545,1,1,1,5,4768500,727200,3,2,2,0,1,1,0,0,1,0,1,0,0,1,1,2,1
200700060931,7,10,11,700,2,1,1,5,4788900,726400,3,3,4,0,3,1,0,72,1,3,1,0,2,0,1,0,1
200700060933,7,10,26,1430,1,9,1,3,4792000,753000,4,2,2,0,1,1,0,73,1,0,1,0,2,0,1,0,1
200700060934,7,10,27,1545,1,1,1,6,4786000,740000,3,2,2,0,1,1,0,72,1,0,3,0,1,1,0,0,1
200700060935,7,10,30,1715,2,1,1,3,4787000,738000,3,2,0,0,0,1,0,60,1,0,1,0,1,0,1,0,1
200700060936,7,10,13,2330,3,1,1,7,4786100,724300,3,3,2,0,1,3,0,0,1,0,1,0,0,1,0,0,1
200700060937,7,10,24,1730,1,9,1,5,4791700,731800,3,2,2,0,1,1,0,70,1,0,1,0,4,0,1,0,1
200700060942,7,10,3,1715,1,3,1,1,4758600,751400,3,2,0,0,1,1,60,86,1,0,1,0,1,0,2,0,1
200700060945,7,10,2,745,1,1,1,5,4784700,707300,2,2,1,0,1,1,0,63,1,0,1,0,3,0,1,0,1
200700060946,7,10,4,2045,5,6,1,7,4780700,718400,4,2,2,0,1,2,60,0,9,5,1,3,0,0,1,0,1
200700060947,7,10,19,1345,1,1,1,7,4898300,363000,3,2,2,0,1,2,0,58,8,0,1,0,0,0,0,1,1
200700060948,7,10,22,1345,1,1,1,3,4908000,363900,4,2,0,0,2,1,0,68,1,0,1,0,1,0,1,0,1
200700060949,7,10,28,445,4,1,1,3,4908600,370900,3,2,1,0,1,1,0,63,1,0,1,0,0,0,1,1,1
