Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,week,time,unscathed,killed,hospital,light
201600000159,16,12,27,1015,1,6,1,3,5030900,320800,3,2,2,0,1,1,0,0,1,5,1,3,148,2,10.0,1596,120,901,1347
201600000175,16,3,17,1945,3,1,1,5,5030514,377363,3,3,2,0,3,1,0,73,1,0,1,0,132,4,19.0,2431,224,1431,1959
201600000181,16,12,23,245,3,1,9,6,5017700,350000,2,3,2,0,1,1,140,60,0,0,0,0,163,5,2.0,351,35,203,261
201600000183,16,3,7,1745,1,1,4,4,5025230,372818,3,2,0,0,1,1,0,60,2,0,1,0,125,1,17.0,3970,405,2486,3194
201600000191,16,7,11,1330,1,1,1,6,5021711,306276,3,2,0,0,2,1,0,73,1,0,3,99,165,1,13.0,1693,190,1170,1228
201600000192,16,9,14,1700,1,1,7,1,5023815,297984,3,2,2,0,1,1,0,72,1,0,1,0,158,3,17.0,3387,293,2127,2707
201600000206,16,6,10,1800,1,3,1,3,5010858,308254,3,2,2,0,0,0,0,60,1,5,0,99,215,5,18.0,3320,354,2119,2411
201600000207,16,7,24,1945,1,2,1,3,5011314,303713,4,2,2,0,0,1,0,47,1,0,1,99,153,7,19.0,1930,341,1845,1612
201600000208,16,8,29,845,1,1,1,3,5002892,287380,3,2,2,0,1,1,0,0,1,0,1,0,115,1,8.0,3337,319,1829,2790
201600000209,16,6,7,930,1,1,1,6,5012353,263517,4,2,0,0,1,1,0,75,1,0,1,0,163,2,9.0,1479,131,839,1091
201600000213,16,11,21,1800,5,1,1,6,5023197,274658,3,2,2,0,1,1,0,58,1,0,1,99,161,1,18.0,2464,235,1500,1825
201600000215,16,11,30,1415,1,1,1,3,5013853,270921,3,2,2,0,1,1,0,63,1,0,1,0,202,3,14.0,2887,256,1647,2232
201600000216,16,1,19,1145,1,1,7,6,5024910,306829,3,2,2,0,1,3,0,40,1,0,1,0,119,2,11.0,1629,130,1037,1191
201600000217,16,8,3,245,3,1,2,6,5015246,282882,3,2,2,0,1,1,0,74,2,0,3,0,128,3,2.0,228,31,143,145
201600000219,16,1,5,1230,1,1,1,7,5039645,269686,3,2,2,0,2,4,70,0,8,0,1,0,162,2,12.0,2047,197,1199,1529
201600000222,16,7,4,715,1,1,2,6,5038965,274233,3,2,0,0,0,1,0,70,2,0,1,99,147,1,7.0,2070,179,1267,1673
201600000223,16,12,25,1830,3,1,2,6,5039649,279314,3,2,0,0,0,1,0,0,2,0,3,99,86,7,18.0,1978,336,1852,1545
201600000224,16,1,17,2130,3,1,1,5,5017315,282309,3,2,2,0,1,1,0,75,1,0,1,0,79,7,21.0,964,156,884,759
201600000225,16,5,19,1500,1,1,8,7,5026504,282902,3,0,2,0,0,3,0,48,1,0,3,99,140,4,15.0,2212,223,1328,1748
201600000228,16,12,10,1845,3,1,9,1,5026210,288529,3,2,3,3,0,1,0,95,2,5,1,99,168,6,18.0,2576,332,1934,1798
201600000229,16,7,1,900,1,1,1,1,5032498,299557,4,2,0,0,1,0,0,0,1,0,1,99,174,5,9.0,1596,126,967,1345
201600000231,16,10,14,1700,1,6,1,3,5033668,300917,3,2,2,0,1,3,0,60,1,0,1,0,198,5,17.0,3944,382,2230,3069
201600000232,16,11,14,445,3,1,8,2,5033372,296179,3,3,2,0,1,1,60,144,2,0,1,99,138,1,4.0,422,52,234,358
201600000234,16,3,3,830,1,1,1,6,5061251,240074,3,2,2,0,2,1,0,73,2,0,3,99,142,4,8.0,2353,239,1404,1709
201600000235,16,4,10,515,2,1,1,1,5061652,249261,3,2,0,0,2,3,0,70,1,2,1,99,148,7,5.0,1205,221,1046,866
201600000238,16,8,21,1215,1,1,2,1,5059551,231762,3,2,2,0,2,1,0,69,2,0,1,0,122,7,12.0,1170,192,976,921
201600000241,16,8,12,2230,3,1,1,1,5056980,277945,3,2,2,0,1,1,0,70,1,0,1,0,133,5,22.0,1552,209,1133,1135
201600000242,16,11,3,1800,2,1,1,2,5059500,276400,3,2,1,0,1,1,0,0,1,0,1,99,163,4,18.0,3803,384,2343,2967
201600000245,16,3,13,1330,1,1,1,1,5068154,180471,3,2,2,0,1,2,0,0,1,0,1,0,114,7,13.0,825,112,696,640
201600000246,16,7,30,1200,1,1,1,3,5061798,183044,3,2,2,0,1,3,0,61,1,0,1,99,147,6,12.0,1288,134,917,986
201600000247,16,4,1,2315,3,1,1,6,5077575,172825,3,2,2,0,1,1,0,0,1,0,1,99,167,5,23.0,1805,160,1146,1290
201600000249,16,4,15,1645,1,2,8,4,5080954,177870,3,2,2,0,1,1,0,0,2,5,1,99,150,5,16.0,3669,384,2338,2733
