Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,unscathed,killed,hospital,light,week,time
201500000968,15,11,9,2100,3,1,1,6,4792941,123621,3,2,2,1,1,1,0,70,1,0,1,0,102,69,7,39,56,1,21.0
201500000990,15,12,30,830,2,1,1,6,4846077,251093,4,2,2,0,1,1,0,85,1,6,1,3,87,53,5,30,52,3,8.0
201500001011,15,2,23,1715,1,1,4,7,4843411,281742,3,3,4,0,1,1,20,72,2,0,1,0,80,41,8,29,43,1,17.0
201500001012,15,3,10,200,3,1,1,6,4845083,275215,3,3,0,0,1,1,11,80,1,0,1,0,62,42,5,20,37,2,2.0
201500001014,15,7,21,1700,1,1,7,6,4840785,281734,3,2,0,0,0,2,0,0,1,6,1,0,135,66,2,50,83,2,17.0
201500001020,15,11,18,1900,3,1,1,1,4838562,283668,3,2,2,0,1,2,0,77,1,0,1,99,124,94,5,39,80,3,19.0
201500001021,15,12,16,2000,5,3,1,3,4838368,291936,4,2,2,0,1,1,0,0,1,5,0,0,133,92,7,35,91,3,20.0
201500001024,15,10,7,1800,1,3,1,3,4844482,220204,3,2,0,0,4,1,0,57,1,0,1,0,79,62,5,29,45,3,18.0
201500001030,15,2,16,930,1,4,3,3,4862497,235696,3,2,2,0,1,3,0,0,2,0,1,99,76,46,7,29,40,1,9.0
201500001036,15,7,14,1230,1,1,1,6,4861936,234699,3,2,2,0,2,3,27,75,1,0,1,99,127,70,13,63,51,2,12.0
201500001051,15,3,20,1515,1,1,1,3,4805946,466106,3,0,2,0,0,1,0,0,1,0,1,0,122,103,6,51,65,5,15.0
201500001060,15,2,22,1700,1,1,2,1,4808166,433096,3,2,2,0,2,3,0,78,2,0,1,0,74,39,4,33,37,7,17.0
201500001072,15,5,3,1600,1,1,3,6,4787728,404745,3,2,2,0,1,4,0,90,2,0,3,99,89,38,6,26,57,7,16.0
201500001074,15,5,18,1000,1,1,1,3,4787712,410661,3,2,2,0,2,1,0,75,1,0,0,0,106,76,9,39,58,1,10.0
201500001077,15,9,12,1415,1,1,1,7,4789322,409261,3,2,2,0,1,1,0,0,1,0,1,0,117,55,8,49,60,6,14.0
201500001101,15,10,17,1145,1,1,1,6,4860500,435400,3,2,2,0,4,2,0,65,1,0,3,0,109,61,8,35,66,6,11.0
201500001114,15,10,5,1045,1,1,2,3,4852983,445232,3,2,0,0,0,3,0,0,2,0,1,0,111,79,4,39,68,1,10.0
201500001126,15,11,6,815,2,1,2,6,4854056,464866,9,2,0,0,2,1,0,69,2,0,1,0,167,128,15,65,87,5,8.0
201500001135,15,7,26,700,1,1,3,1,4828240,425285,3,2,2,0,1,1,0,71,2,0,1,0,116,76,7,57,52,7,7.0
201500001153,15,2,27,1600,1,1,1,1,4821934,432628,4,2,2,0,1,1,0,60,1,0,1,0,93,63,4,39,50,5,16.0
201500001154,15,3,30,1315,1,1,1,6,4824773,443121,3,2,0,0,0,1,0,114,1,0,1,0,87,52,3,27,57,1,13.0
201500001165,15,1,22,1615,1,6,1,6,4852183,371811,3,2,2,0,2,1,0,0,1,0,1,0,73,42,8,23,42,4,16.0
201500001176,15,1,21,1700,1,2,2,3,4853411,389835,4,2,2,0,1,1,0,70,2,0,1,0,84,63,0,32,52,3,17.0
201500001224,15,1,20,830,2,1,2,6,4767171,296156,4,2,2,0,1,1,0,41,1,0,1,3,94,63,5,32,57,2,8.0
201500001248,15,4,27,815,1,6,1,1,4807760,229033,4,1,2,0,1,2,0,80,1,5,1,3,100,51,5,38,57,1,8.0
201500001307,15,2,28,2050,3,1,2,6,4906960,12324,3,2,2,0,2,2,0,30,2,0,3,0,99,47,7,59,33,6,20.0
201500001310,15,1,5,1545,1,1,1,6,4926620,40294,3,2,2,0,1,1,0,58,1,0,1,0,61,42,3,28,30,1,15.0
201500001320,15,1,8,1845,3,1,6,1,4910950,48840,3,2,2,1,1,1,0,60,2,0,1,99,94,64,7,26,61,4,18.0
201500001328,15,9,29,1915,2,1,1,6,4919730,45112,4,2,2,0,1,1,0,80,1,0,1,0,131,98,6,52,73,2,19.0
201500001335,15,12,10,1900,5,1,1,6,4911840,17692,3,2,2,0,1,1,0,50,1,0,1,99,106,71,11,33,62,4,19.0
201500001351,15,4,25,1130,1,1,1,6,4927620,69436,6,0,0,0,2,1,0,65,1,0,1,99,104,65,9,40,55,6,11.0
201500001390,15,9,9,2130,3,1,1,7,4911120,10889,3,2,2,0,1,1,0,31,1,0,1,99,115,96,3,50,62,3,21.0
201500001444,15,4,4,1815,3,3,5,6,4902820,114439,3,2,2,0,1,3,0,0,1,5,3,99,104,68,8,47,49,6,18.0
201500001445,15,4,13,1630,1,1,1,6,4896020,116767,3,2,2,0,1,1,0,64,1,0,1,99,115,79,5,44,66,1,16.0
201500001451,15,6,25,1200,1,1,1,2,4872920,236738,4,1,2,0,1,1,0,0,1,0,1,99,142,98,8,55,79,4,12.0
201500001460,15,8,27,2025,5,1,3,7,4873970,236432,1,3,2,0,1,1,0,93,2,0,1,99,123,68,6,47,70,4,20.0
201500001489,15,9,20,345,3,1,1,7,4875830,129045,3,2,2,0,2,2,70,60,1,0,1,0,118,86,6,62,50,7,3.0
201500001496,15,1,23,1215,1,1,1,1,4872210,111501,3,2,2,0,4,1,0,60,1,0,1,0,103,66,6,36,61,5,12.0
201500001512,15,11,30,1200,1,1,6,6,4946650,163739,3,2,2,0,2,1,0,69,1,0,1,0,124,91,8,46,70,1,12.0
201500001545,15,1,24,445,5,6,3,6,4921220,152871,3,2,2,0,1,0,0,0,2,5,1,99,111,85,6,38,67,6,4.0
201500001561,15,2,2,1145,1,1,1,4,4856480,109484,3,2,2,0,3,1,0,0,1,0,1,0,76,50,4,21,51,1,11.0
201500001592,15,3,2,1720,2,4,1,3,4621485,521260,4,0,1,0,1,0,0,40,1,5,1,99,66,46,1,25,40,1,17.0
201500001857,15,4,22,1300,1,1,1,1,4718929,199054,3,2,2,0,1,1,50,0,1,0,1,99,84,63,4,32,48,3,13.0
201500001937,15,3,4,1830,2,3,7,3,4745925,65332,3,2,2,0,1,1,40,60,1,5,1,99,81,78,4,24,53,3,18.0
201500002119,15,8,24,1015,1,1,3,7,4834382,41469,3,2,2,0,0,2,0,57,2,0,3,0,108,81,4,33,71,1,10.0
201500002122,15,11,15,730,2,1,1,6,4841277,57754,3,2,2,0,0,1,0,0,1,0,1,99,98,38,10,38,50,7,7.0
201500002132,15,12,19,1900,3,1,1,1,4834031,27175,3,2,2,0,3,1,0,60,1,0,1,99,111,81,1,53,57,6,19.0
201500002193,15,11,11,1815,3,1,1,5,4787000,100,3,2,2,0,1,1,0,72,1,0,1,99,83,59,4,38,41,3,18.0
201500002242,15,5,19,1745,1,1,1,3,4653301,121621,3,2,2,0,2,1,0,62,1,0,1,0,118,84,2,43,73,2,17.0
201500002259,15,2,18,1900,5,1,1,1,4678489,106580,4,2,2,0,1,4,0,59,9,0,1,99,84,52,5,33,46,3,19.0
201500002303,15,2,9,1630,1,6,1,3,4646155,80141,3,1,1,0,1,1,0,67,1,0,0,0,64,37,5,12,47,1,16.0
201500002309,15,2,20,1050,1,1,3,6,4648362,118478,3,2,2,0,1,1,0,71,2,0,3,0,91,65,7,29,55,5,10.0
201500002416,15,12,7,1745,2,1,1,6,4472269,120677,3,2,2,1,1,1,0,56,1,0,1,99,95,72,4,33,58,1,17.0
201500002430,15,3,11,700,2,1,1,7,4510168,64269,3,0,2,0,0,1,0,0,1,0,1,0,85,62,4,29,52,3,7.0
201500002895,15,3,29,1715,1,1,1,1,4322842,42102,3,2,0,0,2,2,0,56,1,0,1,0,80,46,6,34,40,7,17.0
201500002899,15,9,14,845,1,1,3,3,4317323,39442,3,2,2,0,0,1,0,84,2,0,1,0,121,93,3,46,72,1,8.0
201400000008,14,10,16,1200,1,4,1,6,5053223,281490,3,2,2,0,1,3,0,0,1,5,1,99,91,63,3,32,56,4,12.0
201400000020,14,4,18,1630,1,1,1,7,5048600,305900,3,2,2,0,2,4,33,0,1,0,1,0,87,71,5,31,51,5,16.0
201400000025,14,6,4,1400,1,1,1,1,5095900,226800,3,3,2,1,2,2,0,74,2,0,1,99,80,51,4,23,53,3,14.0
201400000026,14,6,19,1330,1,1,1,1,5086200,221000,3,3,2,0,1,1,0,66,1,0,1,99,85,69,1,24,60,4,13.0
201400000028,14,9,5,1345,1,3,1,3,5097700,231400,3,2,0,0,0,1,0,76,1,5,1,99,87,62,10,31,46,5,13.0
201400000029,14,9,17,1245,1,1,1,2,5097100,228000,3,2,0,0,0,1,0,70,1,0,1,99,88,74,6,32,50,3,12.0
201400000041,14,8,1,1715,1,1,1,2,5066771,245764,3,0,2,0,1,1,0,48,1,0,1,0,94,62,3,42,49,5,17.0
201400000050,14,1,8,1800,5,1,2,6,5064334,272739,3,2,0,2,1,1,78,0,2,0,1,99,87,56,6,31,50,3,18.0
201400000052,14,5,28,2000,1,1,1,6,5067300,278000,3,2,0,0,1,1,0,56,1,0,3,0,103,63,4,39,60,3,20.0
201400000053,14,10,21,1115,1,1,3,1,5069000,271500,3,2,1,0,1,1,0,0,2,0,1,99,54,39,2,21,31,2,11.0
201400000054,14,11,12,1000,1,1,1,3,5064000,270600,3,2,2,0,1,3,0,60,1,0,1,99,107,83,8,44,55,3,10.0
201400000063,14,1,4,1815,2,1,2,6,5082243,257777,3,2,2,0,1,1,0,60,2,0,1,99,52,37,2,23,27,6,18.0
201400000084,14,8,15,330,5,1,1,6,5094600,337200,3,2,0,0,1,3,10,70,1,0,1,99,68,40,2,30,36,5,3.0
201400000087,14,1,6,830,2,1,1,6,5074180,296742,3,2,2,2,1,1,68,0,2,0,1,99,61,48,6,23,32,1,8.0
201400000088,14,1,17,745,5,3,1,6,5069992,301122,3,2,0,2,1,1,0,60,2,0,1,99,133,94,5,55,73,5,7.0
201400000089,14,2,16,2100,5,1,1,6,5071718,302158,3,2,2,0,1,1,0,58,1,0,1,99,81,39,4,33,44,7,21.0
201400000092,14,9,11,1000,1,1,1,6,5067177,300340,3,2,2,2,0,1,0,60,1,0,3,99,95,68,6,28,61,4,10.0
201400000093,14,10,6,1115,1,1,1,6,5069864,301465,3,2,2,0,1,1,0,0,1,0,1,0,91,75,7,33,51,1,11.0
201400000122,14,8,9,1245,1,1,1,1,5005898,416714,3,2,0,0,2,3,0,50,1,0,1,99,87,66,4,39,44,6,12.0
201400000149,14,1,22,1830,2,2,1,3,5014000,320000,3,2,0,0,1,1,35,87,0,5,0,0,66,60,4,22,40,3,18.0
201400000184,14,4,27,2100,2,1,9,6,5089970,176729,1,3,2,0,1,1,10,70,2,0,1,99,85,39,11,27,47,7,21.0
201400000186,14,9,1,1415,1,1,1,7,5050610,168226,1,1,1,0,4,3,0,50,1,3,2,0,102,68,5,37,60,1,14.0
201400000187,14,1,7,1800,1,1,1,5,5004768,290743,3,2,0,0,0,1,0,77,1,0,1,99,76,50,4,28,44,2,18.0
201400000188,14,2,7,1500,1,1,8,3,5009361,292014,3,2,2,0,1,3,0,46,2,0,1,99,101,73,6,27,68,5,15.0
201400000189,14,3,6,2145,3,1,1,6,5008643,280896,3,2,2,0,1,1,0,87,1,0,1,0,77,56,8,29,40,4,21.0
201400000190,14,4,3,1615,1,1,1,1,5009665,301061,3,2,2,0,1,1,0,0,1,0,1,99,56,43,1,24,31,4,16.0
201400000192,14,6,13,1700,1,1,1,1,5009078,281676,3,2,2,0,2,1,0,66,1,0,1,99,124,81,11,38,75,5,17.0
201400000193,14,12,11,1615,1,1,2,1,5008273,287577,3,2,2,0,1,1,0,74,2,0,1,0,74,64,5,25,44,4,16.0
201400000195,14,4,19,2030,3,1,1,6,5019247,250266,2,2,1,0,1,1,0,76,1,0,3,99,93,49,3,29,61,6,20.0
201400000196,14,7,8,1345,1,1,1,7,5015809,258459,3,2,0,0,1,2,0,52,1,0,3,99,64,47,3,27,34,2,13.0
201400000197,14,12,6,845,1,1,8,7,5018966,270991,3,2,2,0,2,1,0,60,7,0,3,0,67,41,7,24,36,6,8.0
201400000198,14,12,28,2300,3,1,9,7,5016400,272484,3,2,2,0,1,1,0,70,7,0,3,99,36,16,1,15,20,7,23.0
201400000199,14,11,19,1745,2,1,1,6,5022952,317485,3,2,2,0,1,1,0,60,1,0,1,99,83,57,3,22,58,3,17.0
201400000200,14,3,12,1145,1,1,1,3,5033063,271753,3,2,0,0,1,1,0,70,1,0,1,99,68,46,4,16,48,3,11.0
201400000201,14,1,10,1915,3,2,1,3,5023512,276363,3,2,2,0,1,1,0,0,1,0,1,99,118,69,6,49,63,5,19.0
201400000202,14,1,11,1645,1,1,1,3,5027300,280983,3,2,2,0,0,2,0,0,1,0,1,99,78,65,4,26,48,6,16.0
201400000203,14,1,16,1000,1,1,3,1,5027175,280792,3,2,0,0,1,2,0,78,2,0,1,99,109,89,6,36,67,4,10.0
201400000205,14,2,2,2000,3,1,1,6,5022970,308539,3,2,2,0,2,3,0,60,1,0,3,0,83,54,8,38,37,7,20.0
201400000206,14,5,2,915,1,6,1,6,5021575,306765,3,2,2,0,1,2,0,70,1,5,3,0,79,50,5,31,43,5,9.0
201400000207,14,6,29,2000,1,7,1,6,5017809,305102,3,2,0,0,1,1,0,0,1,0,1,0,118,59,8,46,64,7,20.0
201400000208,14,7,25,245,3,1,1,1,5027072,280498,3,2,0,0,2,1,60,0,1,0,1,0,115,85,15,43,57,5,2.0
201400000209,14,8,2,1045,1,1,1,1,5025272,279077,3,2,2,0,1,1,0,68,1,0,1,0,108,62,15,36,57,6,10.0
201400000210,14,8,27,1400,1,1,1,6,5019768,302337,3,2,2,0,0,2,0,60,1,0,3,99,86,59,5,37,44,3,14.0
201400000211,14,8,28,1330,1,1,1,1,5022033,304983,3,2,2,0,1,1,0,63,1,0,1,0,90,63,2,45,43,4,13.0
