Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
200600072389,6,11,8,1330,1,1,1,1,6,158,4749400,333900,890,9,2,0,0,0,1,0,37,1,0,3,0,0
200600072393,6,11,19,945,1,1,2,2,3,463,4785800,364000,890,2,2,2,0,1,1,0,74,2,5,1,0,0
200600072394,6,11,23,1115,1,1,1,2,7,477,4787100,374100,890,3,2,0,0,3,2,0,45,2,0,3,0,0
200600072396,6,11,12,100,3,1,1,2,7,419,4774000,331900,890,3,2,3,0,3,3,0,0,2,0,3,0,0
200600072399,6,11,28,1415,1,1,1,1,1,279,4769600,402600,890,3,2,2,0,2,2,0,68,1,0,1,0,0
200600072404,6,11,5,1815,3,1,1,5,6,100,4821000,299800,890,3,2,2,0,2,2,0,60,2,2,3,0,0
200600072408,6,11,28,1100,1,1,1,1,1,106,4711300,603600,250,3,2,0,0,4,1,0,70,1,0,1,0,0
200600072409,6,11,6,1530,1,1,1,1,3,57,4753900,678700,250,3,2,2,2,1,1,24,47,1,0,1,0,0
200600072412,6,11,1,545,5,2,1,8,6,367,4745300,680800,250,9,2,2,0,0,0,0,69,1,0,3,0,1
200600072417,6,11,4,2230,3,1,1,1,1,262,4712700,659300,250,3,2,0,0,2,1,0,56,1,0,1,3,0
200600072420,6,11,2,1500,1,2,1,1,1,321,4706600,667500,250,3,2,2,0,2,1,0,70,1,0,1,0,0
200600072421,6,11,3,1745,2,1,1,1,1,12,4696100,646100,250,3,2,2,0,2,1,0,51,1,0,1,0,1
200600072427,6,11,17,1330,1,1,1,1,1,114,4783900,595400,700,3,2,2,0,1,2,0,55,1,0,1,0,0
200600072431,6,11,10,1515,1,1,1,1,3,312,4759800,673100,700,3,2,2,0,2,1,0,77,1,0,1,0,0
200600072432,6,11,13,1745,5,2,1,1,6,180,4752200,653900,700,3,2,2,0,1,1,0,59,2,0,1,0,0
200600072433,6,11,10,1600,1,2,1,1,7,526,4792500,610000,700,3,2,2,0,0,1,0,93,1,0,4,0,1
200600072439,6,11,5,1515,1,2,4,1,1,97,4757500,686300,900,2,2,2,0,0,2,0,0,1,0,1,0,0
200600072441,6,11,18,1215,1,1,1,2,6,46,4747500,706600,900,3,2,2,0,0,2,0,0,2,0,1,0,0
200600072442,6,11,26,1215,1,1,1,1,3,25,4759300,703500,900,3,2,1,0,4,1,0,0,1,5,1,0,1
200600072445,6,11,22,430,3,1,1,1,2,41,4522300,481700,260,1,3,3,0,2,3,35,105,1,0,1,0,0
200600072449,6,11,5,1000,1,1,1,1,7,48,4366000,562900,130,2,2,2,0,1,2,0,0,1,0,3,0,1
200600072450,6,11,28,1715,2,1,1,1,1,59,4364200,549800,130,4,2,0,0,1,1,0,32,1,0,1,0,0
200600072457,6,11,16,1500,1,1,1,6,6,4,4351000,475100,130,3,2,2,0,1,1,0,0,1,0,3,0,0
200600072458,6,11,22,700,2,1,1,1,7,97,4353600,483000,130,2,3,2,0,1,1,0,70,1,0,3,0,0
200600072465,6,11,16,1630,1,2,1,1,3,14,4350800,517700,130,3,2,2,0,1,2,0,0,1,0,1,0,0
200600072466,6,11,9,945,1,1,1,1,3,3,4371600,516100,130,3,2,2,0,1,1,0,53,1,0,1,0,0
200600072470,6,11,10,100,3,1,1,1,7,1,4405900,615800,40,2,2,2,0,1,3,0,75,1,0,3,0,1
200600072472,6,11,22,800,1,1,1,1,6,33,4446000,627000,40,3,2,2,0,2,3,0,70,2,0,3,0,0
200600072473,6,11,22,1430,1,1,1,1,7,126,4440000,633000,40,3,2,2,0,2,2,0,63,1,0,3,0,0
200600072474,6,11,3,1615,1,1,1,1,3,136,4400900,655100,40,3,2,2,0,1,1,0,58,1,0,1,0,0
200600072476,6,11,18,115,3,1,1,1,6,166,4380700,604400,40,3,2,2,0,0,1,0,69,2,0,1,0,0
200600072481,6,11,17,1515,1,1,1,2,7,69,4434100,575600,50,3,2,2,0,2,3,0,56,2,2,3,0,0
200600072482,6,11,18,1045,1,2,1,1,6,70,4431900,582400,50,3,2,2,0,1,1,0,70,1,0,1,0,0
200600072483,6,11,25,15,3,1,1,1,6,70,4430800,582400,50,3,2,0,0,1,3,0,64,1,0,3,0,0
200600072484,6,11,3,1530,1,1,1,1,5,72,4465200,608600,50,2,2,2,0,2,1,0,73,1,0,1,0,0
200600072489,6,11,29,1745,5,2,1,2,6,161,4495000,656300,50,3,2,2,0,1,1,0,73,2,0,1,0,0
200600072496,6,11,5,545,5,2,1,1,6,147,4378500,727600,60,3,2,1,0,3,2,0,74,1,0,1,0,0
200600072497,6,11,16,1430,1,1,1,1,6,151,4393400,726700,60,3,2,2,0,0,3,0,72,1,0,1,0,0
