Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
201600000247,16,4,1,2315,3,1,1,1,6,889,5077575,172825,620,3,2,2,0,1,1,0,0,1,0,1,99,0
201600000248,16,4,10,1330,1,1,1,7,7,546,5076816,166703,620,4,2,2,0,2,2,0,21,9,0,1,0,0
201600000249,16,4,15,1645,1,1,2,8,4,705,5080954,177870,620,3,2,2,0,1,1,0,0,2,5,1,99,1
201600000250,16,7,3,1530,1,1,1,1,2,899,5090452,168739,620,3,2,2,0,1,1,0,0,1,0,1,99,0
201600000251,16,7,16,1930,1,1,1,1,5,560,5082368,169693,620,4,2,2,0,0,1,0,0,1,0,3,0,0
201600000252,16,9,3,1330,1,1,1,1,3,329,5082898,175530,620,3,2,2,0,1,3,0,63,1,5,1,0,1
201600000253,16,10,23,1915,2,1,1,1,3,54,5083585,163611,620,3,2,2,0,1,4,0,62,1,0,1,0,0
201600000254,16,3,7,830,1,1,1,4,1,300,5067753,158255,620,3,2,2,0,1,1,0,84,5,0,1,0,0
201600000255,16,4,17,1400,1,1,1,1,5,235,5063543,164473,620,3,2,2,0,0,0,0,79,1,0,0,99,0
201600000256,16,12,12,2030,3,1,1,1,1,604,5060794,163243,620,3,2,0,0,2,1,0,75,2,0,1,0,0
201600000257,16,4,29,1015,1,1,1,1,1,170,5043543,268823,620,3,3,2,0,1,1,0,67,1,0,2,99,0
201600000258,16,5,4,1945,1,1,3,7,1,793,5040504,263190,620,3,2,2,0,1,1,0,60,1,0,1,99,0
201600000259,16,5,5,1030,1,2,1,7,7,693,5043770,255002,620,4,2,2,0,2,1,0,59,1,0,1,99,0
201600000260,16,5,26,1545,1,1,1,1,1,170,5043661,266594,620,3,3,2,0,1,1,0,73,1,0,1,99,0
201600000261,16,7,28,1730,1,1,1,1,3,693,5042766,256116,620,3,2,2,0,1,1,0,68,1,0,1,99,0
201600000262,16,10,9,345,5,2,1,1,3,793,5040897,264217,620,4,2,2,0,1,1,0,49,1,0,1,99,0
201600000263,16,10,12,845,1,2,1,1,6,443,5045134,263813,620,3,3,2,1,1,1,30,34,1,0,1,99,0
201600000264,16,11,6,1800,3,1,1,1,2,443,5044119,264861,620,3,3,2,0,1,1,15,74,1,2,1,99,0
201600000265,16,6,29,530,1,2,1,1,7,176,5050084,169175,620,3,2,2,0,1,1,0,70,1,0,4,99,0
201600000266,16,9,21,2045,3,1,1,1,6,196,5046792,172762,620,3,2,2,0,1,1,0,60,1,0,1,0,0
201600000267,16,6,30,1000,1,2,1,3,6,364,5051336,213438,620,3,2,2,0,0,1,0,80,2,0,1,3,0
201600000268,16,12,3,1830,3,1,1,1,1,183,5039100,185200,620,3,2,2,0,0,1,0,25,1,0,1,99,0
201600000269,16,6,9,1545,1,1,1,1,3,201,5056319,160832,620,3,2,2,1,1,1,0,75,1,0,1,99,0
201600000270,16,10,8,1930,5,2,1,1,3,318,5051914,165263,620,3,2,1,0,0,1,0,0,1,0,1,0,0
201600000271,16,10,31,1430,1,2,1,1,6,318,5051284,163617,620,3,2,0,0,1,1,0,0,1,0,4,0,0
201600000272,16,1,31,1645,1,2,1,2,1,661,5038209,198640,620,3,2,0,0,1,3,0,0,2,0,1,0,1
201600000273,16,5,29,1400,1,2,1,1,6,552,5040231,195488,620,4,2,0,0,1,3,0,50,1,0,1,99,0
201600000274,16,2,1,1430,1,1,1,6,1,14,5063854,237240,620,3,2,2,0,1,1,0,50,1,0,1,0,0
201600000275,16,3,4,845,1,2,1,1,6,721,5066079,235111,620,3,2,0,0,2,1,0,0,1,0,1,99,0
201600000276,16,4,26,2030,1,1,1,1,6,543,5063352,233458,620,3,2,0,0,1,3,0,60,1,0,1,0,0
201600000277,16,5,29,1715,1,2,1,1,2,14,5063946,241387,620,4,2,2,0,1,1,0,0,1,0,1,0,0
201600000278,16,5,27,1800,1,2,1,1,2,14,5064055,237936,620,3,2,2,0,0,1,0,0,1,0,1,99,0
201600000279,16,10,31,600,5,2,1,5,6,684,5069175,236163,620,3,2,2,0,1,1,0,0,1,0,4,99,1
201600000280,16,12,13,1730,3,1,1,1,1,288,5067508,226861,620,3,2,2,0,2,1,22,80,2,0,1,99,1
201600000281,16,12,15,1845,5,2,1,1,6,14,5064271,239789,620,4,2,2,0,1,1,30,60,1,0,1,99,0
201600000282,16,7,18,1515,1,2,1,1,6,55,5078184,198870,620,4,2,0,0,2,2,0,32,1,0,3,0,0
201600000283,16,1,14,1100,1,2,2,1,3,645,5098005,205705,620,3,2,0,0,1,1,0,0,1,5,1,99,0
201600000284,16,2,13,1530,1,2,1,2,6,57,5087464,208359,620,3,2,2,0,1,1,0,0,2,4,3,0,0
201600000285,16,2,23,1000,1,1,2,1,3,756,5090450,213449,620,3,2,0,0,1,1,0,0,1,5,1,0,0
201600000286,16,11,3,1030,1,2,1,1,2,598,5084352,211443,620,4,2,2,0,2,2,0,0,1,0,1,0,0
201600000287,16,11,16,1330,1,1,1,1,3,614,5083753,201821,620,3,2,0,0,1,1,0,0,1,0,1,0,0
201600000288,16,12,27,1830,3,2,1,8,1,393,5091155,199296,620,3,2,2,0,0,1,61,61,1,0,1,99,0
201600000289,16,5,16,600,2,2,1,1,6,304,5058827,224959,620,3,2,0,0,1,2,0,62,1,0,1,0,0
201600000290,16,9,11,930,1,1,1,1,6,569,5064576,211773,620,3,2,2,0,1,1,0,71,1,0,3,99,0
201600000291,16,7,10,1715,1,1,1,1,5,803,5072698,191392,620,2,2,2,0,1,2,0,70,1,0,1,0,0
201600000293,16,3,19,1215,1,2,1,1,3,767,5038339,233350,620,4,2,2,0,0,1,0,48,0,0,1,3,0
201600000294,16,4,4,145,3,2,1,3,6,451,5047815,227237,620,3,2,0,0,1,1,0,70,2,0,4,0,0
201600000295,16,4,13,1645,1,1,1,1,2,367,5038327,232433,620,3,2,2,0,1,1,0,60,1,0,1,0,0
201600000296,16,4,16,200,5,2,1,1,1,767,5038117,233574,620,3,2,2,0,2,2,0,70,0,0,1,99,0
201600000297,16,4,15,2115,3,1,1,2,1,333,5050450,231179,620,3,2,2,0,1,1,0,0,2,0,1,0,0
201600000298,16,4,17,1115,1,1,1,1,3,269,5042827,243873,620,3,2,2,0,1,1,0,72,1,0,1,0,0
201600000299,16,6,6,1700,1,2,1,1,6,767,5038178,233586,620,3,2,2,0,1,1,0,61,1,0,1,0,0
201600000300,16,7,8,1230,1,2,1,1,3,138,5043041,217241,620,3,2,2,0,1,1,0,67,1,0,1,99,0
201600000301,16,7,29,1300,1,2,1,1,1,717,5036494,238799,620,3,2,0,0,0,2,0,76,1,0,1,0,0
201600000302,16,9,10,1045,1,1,1,1,6,835,5043903,237041,620,3,2,2,0,0,1,0,57,1,0,3,0,0
201600000303,16,9,13,2000,2,1,1,1,1,450,5043790,231791,620,3,2,2,0,2,4,0,42,1,0,1,0,0
201600000304,16,9,14,1830,1,2,3,1,1,519,5051755,222933,620,3,2,2,0,1,1,0,53,1,0,1,99,0
201600000305,16,9,18,1600,1,1,1,2,5,514,5073800,261500,620,3,3,4,0,4,1,70,145,2,5,1,99,0
201600000306,16,9,29,2145,3,1,1,2,6,686,5037609,230046,620,3,2,3,0,1,1,0,120,2,0,3,0,1
201600000307,16,11,1,1815,2,1,1,1,3,260,5038686,224794,620,3,0,4,0,0,1,0,185,1,0,1,99,0
201600000308,16,11,4,1300,1,1,1,1,3,767,5037949,234032,620,4,0,2,3,0,1,0,88,1,5,1,0,0
201600000309,16,12,12,1200,1,1,1,1,3,835,5042300,238600,620,3,2,2,0,0,2,0,35,1,0,1,99,0
201600000310,16,12,24,900,1,1,1,1,7,835,5044347,237785,620,3,2,2,0,1,1,0,0,1,0,3,99,0
201600000311,16,2,27,1615,1,1,1,1,7,385,5025907,249070,620,3,2,2,0,1,1,0,60,1,0,1,0,0
201600000312,16,2,29,700,1,1,1,9,6,316,5027036,240308,620,3,2,0,0,1,1,0,0,7,0,1,0,0
201600000313,16,7,10,1900,1,1,1,1,6,785,5036528,255533,620,3,2,2,0,0,2,0,53,1,0,1,99,1
201600000314,16,7,31,845,1,1,2,1,1,198,5038909,262265,620,3,2,2,0,1,1,0,80,1,5,1,99,0
201600000315,16,9,5,715,1,1,1,2,7,802,5022980,236257,620,4,2,2,0,1,3,0,0,2,0,1,0,0
201600000316,16,11,14,630,3,1,1,5,6,536,5043199,250779,620,3,2,2,0,2,1,0,63,1,0,3,99,0
201600000317,16,11,28,915,1,1,1,1,1,61,5035155,245045,620,3,2,2,0,1,1,0,60,1,0,1,99,0
201600000318,16,12,2,1930,5,2,1,8,3,784,5020516,253364,620,3,2,0,0,0,1,70,0,2,0,1,0,0
201600000319,16,12,29,45,3,1,1,5,6,630,5028724,253958,620,3,2,2,0,0,1,0,62,2,0,3,99,1
201600000320,16,4,16,1445,1,1,1,1,6,415,5033273,263768,620,3,2,0,0,1,1,0,70,1,0,3,0,0
201600000321,16,7,10,1800,1,1,1,1,6,45,5034508,258257,620,3,2,2,0,1,1,0,80,1,0,3,0,1
201600000322,16,7,9,1430,1,2,1,1,6,695,5026369,236958,620,3,2,2,0,1,1,0,35,1,0,1,99,0
